cell_id	global_mCH	global_mCG	#non_clonal_reads	coverage	global_mCCC	#contact	clusters	subclusters
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B3_AD002	0.051374874502076624	0.7484802077274412	1072516	15042730	0.014480683813655615	19607	L2/3	L2/3-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B3_AD004	0.048014262690421375	0.8227853240516265	2912003	39950110	0.012892064232856916	51694	Sst	Sst-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B3_AD006	0.010962868089786413	0.7648418606016616	2772215	37317677	0.008297867246646912	63007	ODC	ODC-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B3_AD007	0.019945995044916596	0.7763344677540384	3309989	43542826	0.008636581993003871	83301	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B3_AD008	0.008693156209417253	0.7186532703847437	2592137	34887011	0.007772523393893871	55666	MG	MG-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B3_AD010	0.054252008376394066	0.8144856557050864	2626330	35857053	0.014075866600673776	47079	Sst	Sst-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B3_AD012	0.04170406386898606	0.7572939272810277	2829966	38573334	0.012683809640314172	65862	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B4_AD001	0.04621017318132369	0.8082964594776287	1890208	26177625	0.014444337514858154	45194	Vip	Vip-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B4_AD002	0.015399238554234342	0.7731515518671223	2312143	32080459	0.01246589400396553	51011	OPC	OPC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B4_AD004	0.045530737966193655	0.7550829168844642	2718291	37597993	0.014072534000660067	64499	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B4_AD006	0.05190152698338716	0.7617955526514436	2512822	35067097	0.014366574900322764	47142	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B4_AD008	0.04894053969712097	0.8084847634826159	2260049	31655488	0.01494152862731368	49585	Ndnf	Ndnf-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B4_AD010	0.03856460207203875	0.8020142814483835	2364280	32422015	0.01173922266237361	57063	Ndnf	Ndnf-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B4_AD012	0.04435687361968798	0.7772672640608017	2467870	34272682	0.012584286060987689	50529	L5	L5-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B5_AD001	0.012340495522709086	0.7673874604224368	1126735	14765766	0.00772585587688323	30903	ODC	ODC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B5_AD004	0.03718845795088165	0.7780371105146459	1528211	21292352	0.011103885203235268	29241	L2/3	L2/3-4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B5_AD006	0.05231126650987129	0.7607770578934414	1300804	17916846	0.016820743696390424	28667	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B5_AD007	0.039003485968542646	0.7756893916778428	1476369	20746292	0.01133383962606857	29863	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B5_AD008	0.04562360921012605	0.8189058496418723	1375276	19271047	0.01312172325445774	22527	Vip	Vip-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B5_AD010	0.05396668143277482	0.8155065612326504	1449269	19805257	0.014531083880695886	31502	Vip	Vip-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD001	0.052277750499219976	0.8081076775302406	2284496	31703430	0.016189706422746416	36227	Sst	Sst-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD002	0.020895337596195527	0.7640479596176043	2487418	34031305	0.01650489647717146	49903	ODC	ODC-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD004	0.08392998025237255	0.8308147590942103	1726117	24431794	0.024596123442811268	28476	Sst	Sst-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD006	0.030901647801136724	0.7830631821893517	3607972	47474490	0.019737479542888146	90964	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD007	0.017634587402690114	0.7782523422643022	2480627	32934975	0.009770552246431105	62774	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD012	0.05511218807303101	0.7894530344372515	2659143	36577434	0.015737638377796754	50834	L4	L4-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD001	0.05144908801849453	0.7817162354136323	1468349	20731152	0.014985785704001098	29240	L4	L4-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD002	0.057533053669000904	0.7629750392517066	1667484	23273465	0.020852071897744566	41223	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD004	0.013234789470734719	0.772588931521103	2177937	29637991	0.009883969343338584	55656	ODC	ODC-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD006	0.057003862110438064	0.7873580291287983	2051432	28441638	0.016341957170859504	50626	L5	L5-3
